Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 15.07      0.20     0.20    17111     0.01     0.03  Node::calculateForce(Particle&, Node const*)
  7.35      0.30     0.10   807268     0.00     0.00  sf::Vector2<float> sf::operator-<float>(sf::Vector2<float> const&, sf::Vector2<float> const&)
  6.99      0.40     0.10  3915050     0.00     0.00  __gnu_cxx::__normal_iterator<Particle**, std::vector<Particle*, std::allocator<Particle*> > >::__normal_iterator(Particle** const&)
  5.88      0.48     0.08  1954592     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::end()
  5.88      0.56     0.08   234271     0.00     0.00  sf::Vector2<float> sf::operator*<float>(float, sf::Vector2<float> const&)
  5.88      0.64     0.08       86     0.93     4.93  CollisionGrid::checkCollisionsInGrid()::{lambda(int, int)#1}::operator()(int, int) const
  5.15      0.71     0.07    14548     0.00     0.01  Node::insert(Particle&)
  4.41      0.77     0.06  1896515     0.00     0.00  std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >::operator[](unsigned long)
  3.68      0.82     0.05 16920000     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::clear()
  3.68      0.87     0.05  1770682     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::begin()
  2.94      0.91     0.04  1895998     0.00     0.00  std::vector<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > >, std::allocator<std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > >::operator[](unsigned long)
  2.94      0.95     0.04   525018     0.00     0.00  std::sqrt(float)
  2.57      0.98     0.04 16948200     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<Particle*, std::allocator<Particle*> >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >(__gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > > const&)
  2.57      1.02     0.04  3736500     0.00     0.00  __gnu_cxx::__normal_iterator<Particle**, std::vector<Particle*, std::allocator<Particle*> > >::base() const
  2.21      1.05     0.03    28256     0.00     0.00  Node::~Node()
  2.21      1.08     0.03       47     0.64     0.67  Node::computeMassDistribution()
  1.84      1.10     0.03 33896400     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >::base() const
  1.47      1.12     0.02  1743467     0.00     0.00  bool __gnu_cxx::operator!=<Particle**, std::vector<Particle*, std::allocator<Particle*> > >(__gnu_cxx::__normal_iterator<Particle**, std::vector<Particle*, std::allocator<Particle*> > > const&, __gnu_cxx::__normal_iterator<Particle**, std::vector<Particle*, std::allocator<Particle*> > > const&)
  1.47      1.15     0.02   948864     0.00     0.00  Node::contains(Particle const&) const
  1.47      1.17     0.02   169101     0.00     0.00  std::__mutex_base::__mutex_base()
  1.10      1.18     0.01   589129     0.00     0.00  sf::Vector2<float>& sf::operator+=<float>(sf::Vector2<float>&, sf::Vector2<float> const&)
  1.10      1.20     0.01     2088     0.01     0.01  CollisionGrid::checkCollisionsInGrid()::{lambda(int, int)#1}& std::forward<CollisionGrid::checkCollisionsInGrid()::{lambda(int, int)#1}&>(std::remove_reference<CollisionGrid::checkCollisionsInGrid()::{lambda(int, int)#1}&>::type&)
  0.74      1.21     0.01 16920000     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >::operator*() const
  0.74      1.22     0.01   835522     0.00     0.00  std::array<Node*, 4ul>::begin()
  0.74      1.23     0.01   657506     0.00     0.00  sf::Vertex* std::__copy_move_a2<false, sf::Vertex const*, sf::Vertex*>(sf::Vertex const*, sf::Vertex const*, sf::Vertex*)
  0.74      1.24     0.01   421771     0.00     0.00  std::_Vector_base<Particle*, std::allocator<Particle*> >::_M_allocate(unsigned long)
  0.74      1.25     0.01   360000     0.00     0.00  std::_Vector_base<Particle*, std::allocator<Particle*> >::_Vector_impl::_Vector_impl(std::allocator<Particle*> const&)
  0.74      1.25     0.01   328753     0.00     0.00  sf::Transformable::operator=(sf::Transformable const&)
  0.74      1.26     0.01   175361     0.00     0.00  std::mutex::unlock()
  0.74      1.27     0.01   158796     0.00     0.00  std::lock_guard<std::mutex>::~lock_guard()
  0.74      1.28     0.01   112284     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::vector(std::vector<sf::Vertex, std::allocator<sf::Vertex> > const&)
  0.74      1.29     0.01    56400     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >::__normal_iterator(std::vector<Particle*, std::allocator<Particle*> >* const&)
  0.74      1.30     0.01    44271     0.00     0.00  Node::Node(sf::Vector2<float> const&, float)
  0.74      1.31     0.01        1    10.00    45.47  Node::clear()
  0.37      1.32     0.01 16920000     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<Particle*, std::allocator<Particle*> >*, std::vector<std::vector<Particle*, std::allocator<Particle*> >, std::allocator<std::vector<Particle*, std::allocator<Particle*> > > > >::operator++()
  0.37      1.32     0.01 16920000     0.00     0.00  std::vector<Particle*, std::allocator<Particle*> >::_M_erase_at_end(Particle**)
  0.37      1.33     0.01   657506     0.00     0.00  sf::VertexArray::operator=(sf::VertexArray const&)
  0.37      1.33     0.01   328753     0.00     0.00  sf::Shape::operator=(sf::Shape const&)
  0.37      1.34     0.01   191336     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.37      1.34     0.01   188200     0.00     0.00  Particle*& std::vector<Particle*, std::allocator<Particle*> >::emplace_back<Particle*>(Particle*&&)
  0.37      1.35     0.01     1325     0.00     0.00  std::vector<Particle, std::allocator<Particle> >::begin()
  0.37      1.35     0.01      282     0.02     0.02  std::__cxx11::to_string(int)
  0.37      1.36     0.01        1     5.00     5.00  QuadTree::QuadTree(sf::Vector2<float> const&, float)
  0.00      1.36     0.00  5131708     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::base() const
  0.00      1.36     0.00  2403009     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.36     0.00  1972518     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::__normal_iterator(sf::Vertex* const&)
  0.00      1.36     0.00  1916974     0.00     0.00  sf::Vector2<float>::Vector2(float, float)
  0.00      1.36     0.00  1908348     0.00     0.00  bool __gnu_cxx::operator!=<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > const&, __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > const&)
  0.00      1.36     0.00  1796064     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::operator++()
  0.00      1.36     0.00  1796064     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::operator*() const
  0.00      1.36     0.00  1796064     0.00     0.00  void std::_Construct<sf::Vertex, sf::Vertex const&>(sf::Vertex*, sf::Vertex const&)
  0.00      1.36     0.00  1796064     0.00     0.00  sf::Vertex* std::__addressof<sf::Vertex>(sf::Vertex&)
  0.00      1.36     0.00  1796064     0.00     0.00  sf::Vertex const& std::forward<sf::Vertex const&>(std::remove_reference<sf::Vertex const&>::type&)
  0.00      1.36     0.00  1539580     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::__normal_iterator(sf::Vertex const* const&)
  0.00      1.36     0.00  1427296     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::size() const
  0.00      1.36     0.00  1315012     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::base() const
  0.00      1.36     0.00  1315012     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > std::__miter_base<__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > > >(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >)
  0.00      1.36     0.00  1315012     0.00     0.00  sf::Vertex const* std::__niter_base<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >)
